Geneid	SRR1573504	SRR1573505	SRR1573506	SRR1573507	SRR1573508	SRR1573509	SRR1573510	SRR1573511	SRR1573512	SRR1573513	SRR1573514	SRR1573515	SRR1573516	SRR1573517	SRR1573518	SRR1573519	SRR1573520	SRR1573521	SRR1573522	SRR1573523	SRR1573524	SRR1573525	SRR1573526	SRR1573527
gene-LOC103645589	0	0	0	0	0	3	0	0	0	0	0	4	0	2	4	0	2	0	0	0	2	0	0	0
gene-LOC103643944	165	60	93	193	58	234	33	68	46	86	98	114	65	34	216	50	19	19	1	7	61	45	62	40
gene-LOC103643945	16	12	12	22	6	16	2	0	6	6	4	6	10	2	17	65	0	0	0	0	0	0	0	0
gene-LOC103645590	2720	924	851	1451	692	2578	703	963	447	1659	1015	1520	784	890	2324	1352	581	602	980	254	1016	687	478	514
gene-LOC100274767	19	6	21	31	24	59	6	29	9	34	6	0	1	2	6	13	1	4	39	0	3	0	165	0
gene-LOC100279243	5067	3446	1900	6636	2605	6566	2315	2515	1336	4120	1989	2673	1278	1223	5019	2743	849	1465	885	421	2122	964	2555	1163
gene-LOC100194106	278	72	118	192	45	63	146	156	72	4	2	12	0	3	38	0	0	0	0	0	0	0	0	0
gene-LOC100276374	9478	3704	3760	6045	3092	8153	2188	3041	1408	5275	2062	3515	1602	1567	5587	4613	1001	2128	1487	481	3194	487	1630	1311
gene-LOC103643947	98705	58866	47810	75844	42986	105633	39474	45011	22021	109083	56008	73732	59656	43238	137456	75944	24333	29800	25258	6757	35657	13509	37522	25624
gene-LOC100037751	158752	87512	81070	110276	75372	178565	69945	54689	34831	147080	62349	102745	109412	91338	184718	141215	33407	57892	43086	9006	48969	27015	56415	40760
gene-LOC100194132	2575	1220	1548	2111	1198	4730	654	672	418	3302	1794	3901	1959	2166	3351	2418	589	448	532	256	1762	103	279	730
gene-LOC100280049	101	94	103	32	109	141	29	26	34	83	46	54	53	24	94	37	1	34	92	17	10	39	6	26
gene-LOC100193318	1168	492	474	1184	679	1718	258	294	265	843	459	633	335	354	1206	628	191	349	332	44	396	85	317	219
gene-LOC111590569	0	0	0	2	0	0	1	0	3	0	0	0	2	0	2	12	0	0	0	0	0	0	0	0
gene-LOC100382501	3207	1782	2833	1598	813	3450	1447	984	727	4303	1137	2220	1184	1893	2652	3747	1057	1849	1076	210	873	2268	3816	3042
gene-LOC109939290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103643949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100276967	4787	1703	1113	3534	1875	4994	502	513	356	2251	881	1140	830	715	1867	6490	2919	4147	1463	652	3435	287	2677	1510
gene-LOC100502271	301	121	191	229	137	693	120	38	145	289	185	419	185	152	434	117	104	136	36	14	115	0	422	6
gene-LOC542391	24	29	17	28	16	27	8	21	6	10	9	15	3	18	34	943	46	2	40	0	11	0	14	4
gene-LOC100501429	529	280	226	509	204	590	148	150	134	255	197	239	108	141	453	308	32	86	0	53	188	101	154	81
gene-LOC100283504	1	0	3	2	3	4	0	5	0	0	4	2	1	1	2	53	1	0	4	0	1	0	0	2
gene-LOC100217270	2	0	0	0	2	8	5	0	0	2	0	7	0	2	2	0	0	0	0	0	0	0	0	0
gene-LOC100274409	5250	2644	3294	3525	1394	6295	1622	1413	962	2882	1476	3046	2642	1880	3750	5852	1838	2133	1842	489	2776	861	1073	942
gene-TRNAA-AGC-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100279198	1895	923	689	2198	911	1765	522	591	422	765	646	800	336	293	1298	519	224	396	68	118	872	162	472	145
gene-LOC111590570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103643953	2062	506	406	895	348	1114	437	635	329	1297	863	1356	707	653	1808	562	37	307	184	73	344	412	317	140
gene-LOC100382316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100193160	820	226	281	1747	532	2581	388	859	337	880	469	681	249	258	1380	281	7	113	360	227	980	205	245	424
gene-LOC100274266	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	25	0
gene-LOC100276583	2073	1419	1327	1884	1087	2976	875	734	679	1631	668	838	875	498	1728	1143	153	531	392	121	418	160	824	278
gene-LOC100275311	1	0	0	2	5	10	3	2	12	3	2	6	2	0	22	0	0	0	0	0	0	0	0	0
gene-LOC100285734	21709	7861	8520	12295	6046	16034	8837	7187	5208	19976	7932	11908	12925	11207	23759	16906	5565	7915	5486	1565	6858	4297	15763	8021
gene-LOC103643955	30	25	37	4	0	14	4	19	0	8	2	0	14	4	2	4	0	0	0	0	0	0	0	0
gene-LOC100281452	2537	855	774	1114	580	2456	654	360	486	2030	981	1710	824	775	2159	820	543	413	117	76	360	96	174	377
gene-LOC109942298	3	2	0	0	0	4	0	2	3	4	3	10	0	0	4	0	0	0	0	0	0	0	0	0
gene-LOC103643956	24	18	7	231	53	98	6	50	4	24	8	8	4	2	10	0	0	0	0	0	8	0	0	0
gene-LOC103643957	1311	471	445	593	275	1212	302	255	144	1106	666	1177	454	494	1397	683	15	383	149	37	94	82	405	124
gene-LOC103643958	558	352	203	474	170	948	180	168	146	528	394	660	268	394	1264	403	300	154	81	48	282	57	30	75
gene-LOC103643961	447	204	138	439	249	614	176	66	108	235	153	231	94	56	267	218	57	166	4	31	423	40	150	120
gene-LOC103643962	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100276526	3518	1200	1166	2126	1585	4041	1115	1392	829	2388	1508	2642	2064	2142	3787	1948	185	1108	1188	237	1485	321	1783	642
gene-LOC100383262	718	311	342	418	292	1140	290	331	259	1041	546	904	583	584	1408	353	6	48	46	17	543	77	68	183
gene-LOC100191173	3553	845	820	1854	707	2193	639	618	491	1339	680	883	683	384	2139	607	137	264	85	49	140	36	467	113
gene-LOC100275243	76	43	22	51	10	41	14	49	2	46	12	21	23	2	42	0	0	0	0	0	0	0	0	0
gene-TRNAV-CAC-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103643963	5126	2602	2597	5152	3429	8562	2149	1312	1216	3834	2128	3537	2199	1909	6282	4560	1102	2177	2573	698	5156	896	3563	1509
gene-lw1	2774	898	908	3183	659	2751	602	999	425	2179	1205	1916	868	855	4010	681	112	138	302	89	299	81	586	256
gene-LOC103643965	206	52	98	232	68	179	76	298	50	96	32	26	22	24	114	127	25	24	30	28	142	26	12	51
gene-LOC118476170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103643966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103643967	414	180	134	400	138	280	139	147	106	293	116	138	77	89	299	210	15	175	37	6	26	39	514	70
gene-LOC100281671	4	18	13	2	11	12	19	7	1	3	0	0	0	8	1	0	1	0	1	0	0	0	0	0
gene-LOC118476171	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-MIR171i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103643968	2372	1118	1411	776	439	688	884	1056	654	1736	279	483	650	336	1213	2920	729	1376	143	51	594	386	1769	1363
gene-LOC103643969	24	15	16	15	16	64	16	6	6	22	4	12	18	6	23	4	6	0	0	3	5	2	6	0
gene-LOC100281597	3442	1564	1411	3671	1318	3886	833	1303	704	2107	1308	2050	1042	903	2678	1291	466	625	631	312	1066	222	461	445
gene-LOC103643970	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103643971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100101544	4069	2245	1281	2582	923	3336	1055	1888	716	2908	1324	1285	1020	668	4099	1742	433	774	28	35	322	86	230	166
gene-LOC100282141	573	266	181	337	156	603	170	113	89	335	304	390	185	215	639	163	24	131	124	4	196	70	42	101
gene-LOC100275716	8	2	18	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100101531	10	11	13	76	50	86	26	3	15	140	95	142	88	40	174	0	0	0	0	0	0	0	0	0
gene-LOC103643972	7773	3461	3332	3661	2475	7638	2714	2231	1634	5562	2651	4587	2631	2658	7091	4991	1603	2725	1581	558	4993	669	3587	1433
gene-LOC100273027	14116	13999	9545	4633	6088	17153	8028	2449	3369	16061	8875	17894	11960	12628	21704	15484	4177	5024	3334	1033	5095	2123	6335	3246
gene-LOC103643973	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103645597	0	1	0	0	0	0	0	0	0	8	4	0	2	2	2	0	0	0	0	0	0	0	0	0
gene-LOC100383443	359	143	86	231	76	237	79	51	48	112	82	119	96	47	232	17	4	88	118	10	330	32	12	11
gene-LOC100285405	6295	1710	3121	4367	2026	4674	2278	741	2176	1641	575	744	1062	363	1517	2623	824	2122	361	166	1634	1092	2527	1422
gene-LOC103643974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gene-LOC118476172	38	7	8	26	8	25	7	23	10	9	2	1	10	0	18	22	0	4	0	0	26	0	29	3
gene-LOC100283626	9515	2826	2357	15006	3915	9999	2454	3502	2693	6822	3577	6107	4183	1470	7205	7388	1359	2566	6670	1134	5695	2331	4569	1551
gene-LOC100194038	4	2	7	22	2	11	10	25	8	11	2	6	3	2	12	0	0	0	0	0	0	0	0	0
gene-LOC100191965	151	163	100	250	101	255	125	163	175	223	68	73	17	46	84	18	46	27	0	8	37	77	484	114
gene-LOC100283846	6901	2370	3507	6185	3322	11569	2332	2495	1309	7725	3271	5939	2983	3827	11167	3407	1623	1230	748	312	1424	414	1118	1144
gene-LOC118476173	3	0	1	6	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103645598	1044	433	363	1034	288	1110	194	242	239	672	553	1222	494	378	1702	673	219	204	340	90	521	27	326	179
gene-LOC100283483	5433	1763	2292	4127	1509	4860	1078	1689	740	2178	1114	1726	1002	987	2704	1924	580	959	634	155	1172	412	1327	1001
gene-LOC606457	1044	375	516	1214	401	1611	234	311	170	1568	627	883	371	293	1210	630	102	196	6	38	577	16	277	347
gene-LOC542363	36826	16506	20306	31284	20591	54679	16717	14326	10505	31159	11954	23415	14125	15370	39124	22975	7642	10187	10259	2874	15373	5557	17664	11417
gene-LOC541769	4251	1497	1584	3186	1369	3599	1175	1368	752	2054	1144	1903	981	971	4015	1570	421	637	1048	230	1302	191	710	527
gene-LOC100194389	1739	691	535	944	587	1833	401	721	409	838	524	932	434	361	1524	576	181	209	192	140	519	209	307	299
gene-LOC103643975	2383	1054	988	2392	1090	2929	634	875	526	1958	1530	2624	1245	1138	3114	1431	139	506	822	131	977	305	1003	533
gene-LOC109942313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC109942317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC109943793	0	2	0	0	0	0	0	0	2	0	2	5	6	3	4	0	0	0	0	0	0	0	0	0
gene-LOC103639835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC118476174	5650	1637	1059	4160	1069	4419	847	2453	763	2203	2608	3529	1149	1388	6908	1082	215	574	369	158	941	367	962	520
gene-LOC118476175	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gene-LOC103643978	4555	2514	3359	3331	1633	3238	2579	1433	1257	5080	966	1861	1121	1179	4264	7173	3453	3110	289	109	936	914	4457	3843
gene-LOC103643979	807	477	456	685	112	614	274	672	161	726	192	207	118	72	272	786	136	148	1	1	3	194	506	354
gene-LOC118476176	2	4	9	25	2	8	3	0	3	6	0	3	0	0	0	14	0	2	0	0	10	2	0	5
gene-LOC103643980	7555	2476	3490	4324	2005	6681	2103	3298	1320	4570	2462	4026	2099	1989	7582	2839	1691	1243	1292	260	2237	1324	2441	1708
gene-LOC103643981	0	0	0	1	1	1	2	1	0	0	6	2	6	2	6	0	0	0	0	0	0	0	0	0
gene-LOC103643982	5038	1388	1962	5242	1690	4653	1184	1997	827	2617	1128	2406	1220	1085	2977	2414	1085	1025	1026	270	1620	819	1978	1149
gene-LOC103643983	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103643984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100282480	715	403	292	370	211	447	129	147	172	245	132	145	94	96	295	201	63	149	72	21	75	51	362	46
gene-LOC100384369	3431	782	560	1952	691	1691	400	1679	398	1046	853	1062	596	432	2265	595	172	602	542	132	973	311	619	283
gene-LOC115029020	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-MIR166h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100274394	2870	1029	1304	3135	1160	3603	885	1255	622	1811	823	1376	702	570	2075	1130	479	506	542	237	1635	286	360	441
gene-LOC109943544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100281108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103643990	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC732738	7352	2140	3109	5401	2875	8406	1578	2050	1071	5312	2719	5112	3959	3014	7814	2740	312	943	1987	525	3158	414	301	205
gene-LOC100284987	3632	1085	1360	3327	1518	4036	1161	776	770	3430	1492	2778	1884	1677	3250	1563	420	946	549	382	1433	445	814	586
gene-LOC103643989	933	361	383	778	248	657	232	252	225	275	182	176	115	122	389	297	57	145	40	10	137	41	225	53
gene-LOC103643991	0	0	0	12	8	4	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0
gene-LOC100283487	5710	1838	2405	4349	2160	8068	1293	1611	916	5214	3041	5127	2748	3182	8544	3401	1366	1886	2500	709	3724	976	2074	1346
gene-LOC103643992	23	6	0	25	4	3	4	16	6	4	6	2	0	0	11	8	0	3	0	0	4	0	2	2
gene-LOC109943795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100191458	3311	1064	1256	2598	1149	3638	872	753	649	2475	1065	1736	1171	918	2541	2066	266	670	1098	280	1315	288	1116	706
gene-LOC100284262	2894	1467	1158	2844	3464	10438	1272	349	852	1111	916	1713	1357	944	3220	1822	787	1503	42	10	87	236	827	30
gene-LOC100281044	308	149	126	203	144	382	63	74	50	237	264	375	204	240	573	179	55	81	45	6	137	12	328	47
gene-LOC100216638	18298	6610	4772	12687	6865	12431	5084	5092	2311	5855	3027	4436	2909	2630	9197	7833	1598	4219	2609	1428	5201	810	5090	1884
gene-LOC606468	676	143	54	224	111	450	160	105	69	190	105	224	275	143	537	0	34	18	0	2	0	0	0	0
gene-LOC103643994	3466	1312	2016	3174	1677	4114	1316	858	700	2557	1277	1932	1319	1101	3574	1595	295	620	722	136	544	347	574	545
gene-LOC103645607	10077	3029	3043	6732	3035	7922	2274	3489	1775	5284	2700	3680	2041	1947	6935	2544	873	1574	1983	490	2145	476	1368	1395
gene-LOC103643995	41	42	68	127	77	152	51	56	27	56	26	33	23	32	75	40	1	2	120	8	247	12	65	5
gene-LOC103643996	20875	13473	8212	18788	11506	24421	8321	6138	4652	8607	5558	6670	4547	3781	14461	9802	1623	4585	1319	1121	5536	1233	4262	2776
gene-LOC100381565	4596	1503	1702	2850	1300	4596	1012	2144	809	2161	1418	2334	1240	1154	3954	2780	790	1228	1127	200	2172	320	938	961
gene-LOC100277758	278	86	79	289	59	333	41	43	55	113	100	153	58	55	263	49	0	22	0	2	0	14	6	0
gene-LOCLOC100216616	6997	2363	2734	4119	1477	4502	1272	1576	1193	2410	1017	1753	1084	910	2572	3262	505	1652	1326	320	2327	761	1628	669
gene-LOC109621226	0	3	0	0	0	4	2	0	0	21	0	1	0	2	0	0	0	0	0	0	0	0	0	0
gene-LOC109943547	0	2	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
gene-LOC100283389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100272560	1792	703	841	2230	747	1295	737	991	380	953	197	284	193	141	600	2996	599	1652	608	378	3303	790	2717	2747
gene-LOC103643997	43	23	15	49	9	58	2	0	0	6	10	8	11	6	15	0	0	0	0	0	0	0	0	0
gene-LOC103643998	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100502439	1599	533	778	1688	571	2449	407	647	409	1378	519	827	485	462	1614	569	488	440	259	162	759	309	1767	141
gene-LOC100273495	1485	389	509	1595	378	1125	292	452	373	594	328	587	327	225	915	346	23	210	70	56	219	151	130	71
gene-LOC100282904	959	548	474	1391	532	1805	272	409	287	1263	715	1121	477	515	1448	641	92	197	665	114	991	65	233	214
gene-LOC100277055	219	136	195	384	197	459	247	85	167	246	80	108	101	63	236	352	71	165	115	35	74	0	133	6
gene-LOC103643999	0	8	0	2	5	4	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0
gene-LOC100277883	4778	2560	2375	5446	2492	5091	1910	1792	1424	4139	1075	1676	820	651	3062	2395	675	918	1039	266	1842	558	838	1447
gene-LOC100502172	2723	931	1048	2999	1024	3803	707	1107	440	2158	1132	1430	680	815	2756	1110	414	431	423	139	952	150	444	403
gene-LOC100194302	3092	1350	1618	1742	1003	3763	856	680	707	2004	1336	2449	1557	1059	2839	2350	592	807	409	221	1468	522	959	922
gene-LOC100286284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
gene-LOC103644002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100272699	10475	4421	4917	6734	5361	16502	3223	3072	2266	7035	3799	6402	3180	4024	9819	5747	1138	3104	2534	901	5583	773	1420	1509
gene-LOC103644003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100383052	18291	7022	6672	8853	4862	22640	5050	4733	3084	18590	7588	15318	7535	8952	21979	13679	6553	7180	8932	2054	9299	2423	8575	4665
gene-LOC100191229	8189	2169	2370	5760	2228	5844	1593	3195	1202	3196	1647	2720	1599	1527	4593	3216	890	1363	1656	412	1840	938	2356	961
gene-LOC103644004	2	0	2	16	12	12	6	8	2	24	0	2	0	0	6	0	0	0	0	0	0	0	0	0
gene-LOC100275436	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100381954	2383	830	657	1207	532	1755	411	837	387	1499	907	1481	917	660	1857	1604	1202	998	639	320	1790	552	2083	861
gene-LOC100276954	587	264	339	476	233	242	147	200	116	226	82	164	126	49	204	489	46	329	10	102	321	183	71	65
gene-LOC103644006	763	304	283	407	169	544	193	398	139	488	462	869	405	332	1058	447	133	170	31	42	259	201	286	204
gene-LOC100279262	1569	706	664	703	342	1000	423	623	233	1016	492	723	507	391	1113	1108	163	344	137	156	792	224	870	412
gene-LOC103644007	861	405	684	878	555	1699	299	361	323	544	281	538	287	283	796	244	50	172	116	46	222	84	168	159
gene-LOC100191390	12271	3788	2769	5691	1949	7289	5389	6955	2746	19284	7631	10625	9029	5264	26094	8247	2833	2248	1561	518	3383	4899	7904	8000
gene-LOC103644008	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
gene-LOC541703	4	0	0	5	4	22	4	0	2	0	2	0	0	0	4	0	8	0	0	0	0	0	0	0
gene-LOC542181	3293	972	1169	3111	975	4055	671	816	712	2341	1108	1676	895	919	3148	1125	154	580	431	202	1218	121	1018	507
gene-LOC109943548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100276386	4842	2716	2404	3491	1461	3531	1321	1393	966	2515	1214	1380	1309	1027	2393	2399	583	2094	377	382	1807	478	1802	837
gene-LOC100282044	861	348	299	552	206	492	259	492	227	294	233	201	105	97	510	197	108	168	60	23	176	58	103	246
gene-LOC103644010	5	0	0	4	1	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0
gene-LOC100502086	549	282	179	457	248	389	310	280	160	338	131	208	147	79	307	276	153	123	337	31	140	89	149	303
gene-LOC103644011	1799	1323	1262	1045	648	2972	674	767	486	1873	1324	3144	1172	1397	3107	1564	671	404	366	81	530	332	224	260
gene-LOC100275336	1094	853	506	2858	1501	2371	828	818	423	1764	838	1188	1775	797	1743	2149	1086	1021	3799	876	2740	554	1455	322
gene-LOC100275906	4434	1713	1185	6631	2529	3666	1281	1802	885	1683	651	1073	917	554	1447	2117	518	1138	1290	321	1046	929	1881	1078
gene-LOC100285281	14	6	10	14	10	6	52	82	24	24	10	16	9	2	45	0	0	0	0	0	0	0	0	0
gene-LOC100274436	4942	1416	1965	3297	1485	3566	1227	1815	954	1823	884	1327	723	726	2523	2498	865	781	876	179	1708	528	1463	1394
gene-LOC103644012	6337	762	1403	5680	785	2663	658	3054	851	2280	803	955	666	411	1871	1583	339	578	518	217	757	348	1130	657
gene-LOC100304348	5	16	0	0	2	18	0	5	0	2	11	4	6	8	16	0	1	0	0	0	0	0	0	0
gene-LOC100283635	5807	2323	2448	7399	2407	5731	1300	2172	998	3427	1584	1610	892	763	3595	2537	351	1167	294	161	1338	396	1460	948
gene-LOC542031	5712	2135	2702	4452	2171	7739	1672	1574	1087	3857	2388	3727	2322	2046	5550	2440	679	1276	1079	357	1439	327	1836	583
gene-LOC100277032	6377	2336	1931	6237	1925	6128	1342	1686	1141	4641	1945	2396	1429	1125	4970	2811	586	1310	1159	404	1555	474	2361	1161
gene-LOC100274792	1968	1134	1067	1521	1120	1917	770	782	610	757	462	514	358	334	998	1399	383	662	107	187	970	324	1214	497
gene-LOC113839499	422	286	237	619	236	680	186	167	116	354	223	366	152	134	534	149	18	46	0	30	57	38	100	93
gene-LOC542140	622	235	191	472	383	651	189	172	37	166	84	138	90	54	372	159	24	34	0	4	51	19	47	9
gene-LOC100274131	3178	941	1141	2079	666	2977	516	1512	422	1427	660	928	579	522	1462	1307	530	458	506	210	1393	572	672	698
gene-LOC100283149	13	8	55	20	144	301	44	0	79	18	20	36	10	5	3	0	0	1	96	16	239	0	0	4
gene-LOC103644014	12639	4121	5140	10214	4904	13471	4043	3834	2300	8559	3226	5939	4673	4576	9587	6943	1975	3597	2677	897	6230	1165	4623	2614
gene-LOC100216822	309	90	104	579	137	868	102	322	112	306	260	350	122	89	798	73	0	63	0	9	56	3	249	63
gene-LOC103644015	22	9	14	29	7	30	11	7	5	7	3	4	5	0	11	11	3	11	0	1	12	2	18	4
gene-LOC103644016	0	0	0	2	0	1	1	0	2	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0
gene-LOC103644017	2752	1029	2227	1644	1155	4496	733	1105	617	2558	969	2539	1228	989	2722	1797	535	353	712	174	922	411	574	378
gene-LOC542041	0	0	6	11	8	33	2	0	0	4	0	8	7	0	11	0	0	0	0	0	0	2	0	1
gene-LOC109943549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC109943797	20	16	5	11	10	17	7	7	9	9	12	16	10	10	16	8	2	2	0	2	6	2	1	2
gene-LOC542038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC109943550	450	336	163	511	136	732	166	224	155	479	128	155	92	26	250	176	139	89	0	24	88	2	36	188
gene-LOC541793	4485	1907	1315	3106	1692	7082	1354	1622	1076	5960	3409	4699	1774	2266	7939	2663	1599	1325	782	259	1013	409	1426	1015
gene-LOC100284570	2925	935	746	2004	822	2839	528	403	573	1899	1482	2442	981	908	3241	1490	288	779	801	290	867	277	338	440
gene-LOC103644019	0	4	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100192488	1323	443	339	1092	314	1243	198	172	238	665	383	666	196	218	1062	590	185	318	143	51	280	144	144	95
gene-LOC103644020	4293	839	1118	3357	926	2215	571	1425	778	1410	641	997	526	461	2065	1511	210	717	355	160	958	231	536	490
gene-LOC109943798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103644021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC109943799	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103644022	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gene-LOC103644023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC109943800	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100384557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100191912	229041	118020	92834	106366	64998	153161	63388	75156	36328	104120	43665	66076	30472	24306	90494	117700	35461	47618	32675	10202	68635	20436	47743	38293
gene-LOC111590702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100284241	16270	11560	7934	7467	5986	11072	7828	5012	3824	15106	7611	10656	6608	5414	22511	12823	4470	4868	1072	275	1636	1843	4972	3898
gene-LOC100216647	1885	746	723	1831	1225	3704	629	63	366	1848	1617	2136	1125	1223	3621	1113	547	492	759	291	1263	154	586	553
gene-LOC100280603	13178	6774	4582	8764	5270	11420	3812	4591	2458	7209	4335	5341	2773	2641	11738	7633	2319	4252	1971	902	5534	1428	5816	2815
gene-LOC100382376	20	2	6	36	0	2	26	12	16	5	2	2	1	1	19	0	0	0	1	0	0	0	2	94
gene-LOC100383681	8	14	4	39	6	2	0	2	4	22	2	2	8	2	19	0	0	0	0	0	0	0	0	0
gene-LOC100274523	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100384802	721	360	395	1185	468	986	330	281	264	519	194	304	168	111	593	398	60	142	80	27	397	109	94	202
gene-LOC111590716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100279549	31562	11299	13303	17756	12045	40860	11688	11924	7704	20334	6234	11453	8584	5703	22094	21560	4585	11748	7325	2713	16472	3898	15989	7883
gene-LOC100191170	29	4	39	27	21	141	2	2	2	52	20	10	6	10	20	11	2	2	0	46	58	1	0	3
gene-LOC103645617	6	1	4	0	1	14	1	5	1	7	4	4	1	0	2	0	0	0	0	0	2	0	2	0
gene-pho1	5949	1827	2838	6890	3500	14091	1703	2263	1669	6099	3665	6622	3267	3189	10362	2514	703	749	2143	537	3073	732	1894	1026
gene-LOC103645618	0	0	0	0	0	0	2	0	0	0	1	4	2	2	0	0	0	0	0	0	1	0	0	0
gene-LOC100272382	287	146	207	679	273	661	128	134	86	233	73	142	25	20	235	542	23	86	30	10	180	57	69	135
